receiverAddress,Username,Degen
0x29c9001104561089b199b55f677854ca10ce27b2,nico-n,58.32
0xabff4e288c3a4bd1d622ac7d6e199e25fb0c561f,seanmundy,44.81
0x2fad60ff8fdad24c37f3fbdb6955d3e084d00945,bigdegenenergy.eth,16.75
0x70e4cc0e59aa42da6bc8b475b9b2d4bf3ab290ea,minhle,34.31
0x1aa9ace6a350d834da92c86e3fdaca2e7d492ae3,mahla,35.14
0x538c4f2afa012911851dadf0655cb61377e7a8eb,deployer,365.08
0x0aa34eb615ab330b64060ff9fa994e72a7a95b59,ted,290.64
0x72da293d71f1dc131de6a3bec8fa23b619fe909d,avaaaaart,365.30
0xa7071299be9de85a7ac0c170e7f129856b7adc9f,cartist,33.51
0x982859adf9c20aa4098aff412870eabd0bf8f75c,mika2,16.84
0xccfe27e0a33ab85025e67d18f2de41284ce8c53d,bihukim,91.26
0x01ad75dc5a57680bd83bef6b9ba91dd21520543f,catswilleatyou,334.32
0x4d6823b083a7d03bce47d50e224903016353b6c8,project7,167.54
0x8f160d61cb83baf8f931fa605e5c19613fa926e4,travisleroy,17.26
0x3e4fedca9cd0b1e3c9ec994fd9b12b61b582a193,janicka,38.61
0xd2c5f8ec3f005ec6b47d4f26d6841f4e3b9d2221,maie,140.32
0x44bca7e527efc8ce8a8b2a83596ea66194dd9239,naomiii,16.75
0x0a6a8853b787492a5f37e435e9922ed44bf48437,minalisa1991,35.02
0x26fa78b90f72b5816252a9eb3a13d9bc1fea1549,cartoonistsatish,175.10
0x49112c36ec09cf0f5ed46bc5fe98115ff32c0234,haniz.eth,394.62
0x6d5e5ba88861df8dba0eb53ebad1ba89eb4b238b,ckbubbles,571.96
0xc43651f11e20d9bb1dc5498831846ba3d92cb13f,noedmb,124.49
0x3dbe365ad85a82bbc27570799fe1612e6a55de1f,v4w-enko,6.89
0xbace13d5884e08ed18334b98a902cc3118b036c6,siablo.eth,193.43
0x972955a934de4d0e642d913a22e9cee77386f188,ogstyle.eth,16.75
0x10f10b6c511c0d917aedfc8cf1d189f3fa46b14c,dipanjan-photos,17.26
0x6d31129de814c26fbdca8f98d230c1f99015781e,maryamhasaniart,17.26
0xf70648e2ef85165afece82cfa7bc82ddaf2842c5,jenniffer,272.36
0x276d7251e28b7b8df44c75d9467a1e7bfa97a902,diegorobot,81.68
0x4a12d8389696eff9294dece42a648588eda0f56d,sahil,658.99
0x59766e72bf27f6944c5ad36c04c360c0e6f23ead,shamimarshad,976.11
0x74fa01a5d0ef8039f1e14f4d4c8f90e8602e07b4,links,369.30
0x465eba94ec620c73ea74cbffff1c180d7c676e96,nutscity13,394.43
0x324143e84ad529960e28b63eb0de213ddd7b3d95,nato-san,112.46
0x1b8d720afad37f190fd5d8247be439fe7ab3496c,iamcharis,26.81
0xa7d0898038973b151cb532061a2ea7c4f9c6efff,nastaran-t,361.96
0x764e427020ad72624075c61260192c6e486d15a5,zeni.eth,119.77
0x6d9ffaede2c6cd9bb48bece230ad589e0e0d981c,hellno.eth,116.68
0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f,ccarella.eth,440.45
0x934c80e3a3e9136ee3558950385b66ac5e7d9bf7,crezno,151.86
0xe309c6b8e5af174632ddd2afcb19b5f457c2cf6d,a5ht4r,3.36
0xef49522a18a0488a0be5568df36fb2c4f828b99a,glambeckett,1003.88
0x206b44cb741271bf515356babd729e3bd8b457a2,chrisoakley,83.79
0x8379bd16381620914d8fa3d535f6ca9ef23ece53,kugusha.eth,6.70
0x19e7a132bd4b42f580f546197f42e19c42cdfe6c,intrepid,158.25
0x7bd7fa9f519de5e3584a2aab5c23f019e55faed3,cinthiaponce27,50.96
0x704cf202792341d79a9fd6dd97046aa7ef3f4319,jtgi,9.30
0x1cde201aefc97fec54eadfcaa9c31171ba435250,investanything,290.45
0x96a151c848985ba2b7987aaffafc6ab4942c5eec,annemckinnell,87.91
